,Train RMSE,Test RMSE,Train MAE,Test MAE,Test R²
Random Forest,462.9944219329785,1220.694906882197,179.79304560288065,627.997261647541,0.751607227298984
Gradient Boosting,266.3200781731725,1009.9061947656459,197.97665117271427,530.6696953071494,0.8299851868236301
XGBoost,9.40148216175433,1373.936100502099,6.451525372142355,581.9085466284282,0.685328246694319
Ridge Regression,14.46680879665133,15.807052989894077,9.276575649446256,11.626770481298694,0.9999583488968334
